id,brand,category,gender,target_audience,price
3027,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
20514,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,6.99
31817,KFS-B-Candles,Wonen & vrije tijd,Unisex,Volwassenen,1.49
9284,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.29
27375,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,1.99
16830,Promo,Huishouden,Gezin,Volwassenen,0.99
8513,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,1.99
4130,Schwarzkopf,Gezond & verzorging,Vrouw,Vrouwen,1.99
20157,Mars,Eten & drinken,Kinderen,Kinderen,1.79
9090,Montagne Jeunesse,Gezond & verzorging,Vrouw,Vrouwen,1.79
20848,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,9.98
17256,Nivea,Gezond & verzorging,Man,Mannen,1.99
5193,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.99
27338,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.99
4367,Nivea,Gezond & verzorging,Vrouw,Vrouwen,1.99
21691,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.99
29761,Nivea,Gezond & verzorging,Unisex,Volwassenen,5.99
20632,Nivea,Gezond & verzorging,Vrouw,Vrouwen,2.99
29290,Op is Op,Huishouden,Unisex,Kinderen,2.99
30819,At Home,Huishouden,Gezin,Volwassenen,1.99
29114,Blue Wonder,Huishouden,B2B,Volwassenen,3.99
4758,Byphasse,Gezond & verzorging,Vrouw,Vrouwen,1.79
27331,Byphasse,Gezond & verzorging,Vrouw,Vrouwen,1.79
9427,Byphasse,Gezond & verzorging,Vrouw,Vrouwen,2.99
30648,Colgate,Gezond & verzorging,Unisex,Volwassenen,1.79
28281,Colgate,Gezond & verzorging,Unisex,Volwassenen,1.79
29796,Denim,Gezond & verzorging,Man,Mannen,1.29
33267,Dash,Huishouden,Gezin,Volwassenen,19.98
28297,Dove,Gezond & verzorging,Vrouw,Vrouwen,3.99
23388,Dove,Gezond & verzorging,Vrouw,Vrouwen,1.99
16505,Dove,Gezond & verzorging,Unisex,Volwassenen,0.99
33628,L Oreal,Gezond & verzorging,Vrouw,Vrouwen,2.49
29617,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
29618,Fa,Gezond & verzorging,Vrouw,Vrouwen,1.49
